epoch,learning_rate,train_loss,train_ctc_loss,train_consistency_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,consistency_weight,saved_at
94,0.0001,0.01912510864100311,0.019116830397114426,8.278239891224075e-05,0.012686157921023023,0.01099531946858896,0.9806,0.9956933333333333,0.0196,0.983,0.9961066666666667,0.017066666666666667,0.9966,0.9962,0.9956666666666667,0.9953333333333333,0.9946666666666667,0.1,2026-05-28T07:47:11.084607
95,0.0001,0.018085694491397797,0.018077920418310637,7.774060501126638e-05,0.012747622866618274,0.01061435881564833,0.9804666666666667,0.9957466666666667,0.0196,0.9832666666666666,0.9962666666666666,0.016866666666666665,0.9966666666666667,0.9960666666666667,0.9952666666666666,0.9956,0.9951333333333333,0.1,2026-05-28T07:55:53.144102
96,0.0001,0.01825325429526295,0.018245850965547938,7.403315085747246e-05,0.012327631885995135,0.010904687613230494,0.9812666666666666,0.9959866666666667,0.018866666666666667,0.9820666666666666,0.9961333333333333,0.018,0.9966666666666667,0.9963333333333333,0.9960666666666667,0.9959333333333333,0.9949333333333333,0.1,2026-05-28T08:04:34.746363
97,0.0001,0.01810353808599435,0.018095781110844786,7.756975776075185e-05,0.012809851775790219,0.011281037377144075,0.9817333333333333,0.99608,0.018333333333333333,0.9835333333333334,0.9963066666666667,0.0166,0.9971333333333333,0.9964666666666666,0.9952,0.9959333333333333,0.9956666666666667,0.1,2026-05-28T08:13:16.534958
98,0.0001,0.017603781376221636,0.01759537914487056,8.402243231082268e-05,0.012343135689555368,0.011017630426593997,0.9802,0.9957066666666666,0.019933333333333334,0.9823333333333333,0.99608,0.0178,0.9969333333333333,0.9958,0.9953333333333333,0.9957333333333334,0.9947333333333334,0.1,2026-05-28T08:22:00.305046
99,0.0001,0.017860803635334845,0.017853425872019216,7.377751085399983e-05,0.013652194682183028,0.011334994117669833,0.9804666666666667,0.9957333333333334,0.019733333333333332,0.9827333333333333,0.9962,0.017333333333333333,0.9969333333333333,0.9960666666666667,0.9955333333333334,0.9954666666666667,0.9946666666666667,0.1,2026-05-28T08:30:41.938308
100,0.0001,0.01809744707597004,0.018089466194442634,7.980867525828736e-05,0.012316427104643965,0.01020005977453487,0.9813333333333333,0.9959066666666667,0.018866666666666667,0.9836666666666667,0.9964,0.016466666666666668,0.9966666666666667,0.9962,0.9952666666666666,0.996,0.9954,0.1,2026-05-28T08:39:21.775397
101,1e-05,0.016903683989235287,0.016896221347460907,7.462642868901769e-05,0.01283300018600097,0.010594311536211988,0.9815333333333334,0.9959866666666667,0.0186,0.9836,0.9964266666666667,0.016533333333333334,0.9969333333333333,0.9964,0.9954666666666667,0.996,0.9951333333333333,0.1,2026-05-28T08:48:04.714563
102,1e-05,0.016551749019599604,0.016544674202493427,7.074830109423991e-05,0.012680285349873316,0.010896384346071545,0.9817333333333333,0.996,0.0184,0.9836666666666667,0.99652,0.0164,0.9970666666666667,0.9962,0.9952666666666666,0.9961333333333333,0.9953333333333333,0.1,2026-05-28T08:56:47.254957
103,1e-05,0.016452302877028445,0.016445705378465104,6.597501136067357e-05,0.013111632690089806,0.011087664888319039,0.9810666666666666,0.9958,0.019,0.9837333333333333,0.99648,0.01633333333333333,0.9968666666666667,0.9964,0.9952,0.9957333333333334,0.9948,0.1,2026-05-28T09:05:27.791303
