epoch,learning_rate,train_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,saved_at
87,0.0001,0.0005325326478707305,0.037409626787416286,0.03263527364980946,0.9666,0.9917333333333334,0.03426666666666667,0.97,0.9929066666666667,0.030533333333333332,0.9950666666666667,0.9924,0.9904666666666667,0.9899333333333333,0.9908,2026-05-20T11:34:13.450826
88,0.0001,0.0006985419323851077,0.03711324832728599,0.03151435845719188,0.9675333333333334,0.99216,0.03333333333333333,0.9716,0.9929866666666667,0.028933333333333332,0.9956,0.9930666666666667,0.9906,0.9904666666666667,0.9910666666666667,2026-05-20T11:40:40.368073
89,0.0001,0.0005830912921023552,0.03740783655627547,0.031628912678126654,0.9677333333333333,0.9920533333333333,0.03306666666666667,0.9713333333333334,0.9932133333333333,0.0294,0.9957333333333334,0.9928666666666667,0.9902,0.9904,0.9910666666666667,2026-05-20T11:47:07.516551
90,0.0001,0.0005588332948496799,0.037291069304824065,0.032282924400752686,0.9664,0.9916933333333333,0.034466666666666666,0.9714666666666667,0.9932133333333333,0.029133333333333334,0.9956666666666667,0.9925333333333334,0.9904,0.9896666666666667,0.9902,2026-05-20T11:53:34.528622
91,0.0001,0.0005482334301730471,0.03781952589596658,0.03181883671200066,0.9676,0.9923066666666667,0.033133333333333334,0.9714,0.9930933333333334,0.0294,0.9954666666666667,0.993,0.9910666666666667,0.9906666666666667,0.9913333333333333,2026-05-20T12:00:00.853058
92,0.0001,0.000672675558650083,0.03895892356336935,0.033194168793337364,0.9672,0.99212,0.0336,0.9716666666666667,0.9933333333333333,0.0288,0.9954666666666667,0.9932,0.9906,0.9906,0.9907333333333334,2026-05-20T12:06:26.366309
93,0.0001,0.00047836882725706993,0.03730393572743336,0.03251635768454865,0.9676,0.99224,0.03306666666666667,0.9704,0.9930666666666667,0.0304,0.9954,0.9930666666666667,0.9906,0.9907333333333334,0.9914,2026-05-20T12:12:52.290361
94,0.0001,0.0004837552088687669,0.03917005683451174,0.034684200785499976,0.9674666666666667,0.9921066666666667,0.03326666666666667,0.9718666666666667,0.9932133333333333,0.0288,0.9954,0.9927333333333334,0.9903333333333333,0.9904,0.9916666666666667,2026-05-20T12:19:20.013599
95,0.0001,0.00047453501376735775,0.03849864611824235,0.03365349496781597,0.9666666666666667,0.9920266666666666,0.03406666666666667,0.9714,0.99328,0.029133333333333334,0.9956666666666667,0.9928666666666667,0.9906666666666667,0.9903333333333333,0.9906,2026-05-20T12:25:47.609411
96,0.0001,0.0006026891564564137,0.03885002095668081,0.03367985118790781,0.9674,0.9920933333333334,0.03326666666666667,0.9716666666666667,0.9931733333333334,0.029,0.995,0.9930666666666667,0.9907333333333334,0.9907333333333334,0.9909333333333333,2026-05-20T12:32:27.786604
